tienda1,tienda2,tienda3,tienda4,tienda5,tienda6,tienda7,tienda8,tienda9,tienda10,tienda11,tienda12,tienda13,tienda14,tienda15,tienda16
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
